elapsed_ms,aimd_rps,admitted_rps,backend_capacity_rps,observed_failure_ratio,slow_start_active
325,50.0,9.220813107466975,500.0,0.0,1
395,50.0,256.61511715663374,500.0,0.0,1
453,50.0,327.5859696791254,500.0,0.0,1
538,50.0,105.7035373759252,500.0,0.0,1
594,50.0,88.82046476089806,500.0,0.0,0
668,50.0,54.10011225773293,500.0,0.0,0
721,60.0,37.916848351565015,500.0,0.0,0
824,70.0,19.446007552343183,500.0,0.0,0
904,80.0,125.69564684551062,500.0,0.0,0
954,100.0,79.94690246525867,500.0,0.0,0
1004,100.0,99.0378473133508,500.0,0.0,0
1055,110.0,98.68704972676615,500.0,0.0,0
1105,120.0,79.91775184650965,500.0,0.0,0
1155,120.0,139.15244472357983,500.0,0.0,0
1210,130.0,109.95555962798369,500.0,0.0,0
1262,140.0,114.9234496817061,500.0,0.0,0
1312,140.0,139.0094409651926,500.0,0.0,0
1366,150.0,149.75115663113658,500.0,0.0,0
1424,150.0,120.34892454223868,500.0,0.0,0
1478,160.0,166.64056581656155,500.0,0.0,0
1528,170.0,159.39112589906557,500.0,0.0,0
1578,170.0,159.6870134536309,130.0,0.0,0
1630,180.0,191.37916476467674,130.0,0.0,0
1697,190.0,166.18688764003304,130.0,0.0,0
1748,200.0,192.74739730780072,130.0,0.15,0
1798,200.0,199.91736615587314,130.0,0.2727272727272727,0
1848,100.0,139.85804408525348,130.0,0.3181818181818182,0
1899,100.0,98.7476331426681,130.0,0.2222222222222222,0
1952,100.0,113.65286697975633,130.0,0.07692307692307693,0
2003,110.0,78.3560247810331,130.0,0.0,0
2054,110.0,118.4493020108368,130.0,0.0,0
2104,120.0,99.43949140757277,130.0,0.0,0
2155,130.0,117.3006194938967,130.0,0.0,0
2205,130.0,119.84639766596743,130.0,0.0,0
2256,140.0,138.52151279660745,130.0,0.0,0
2306,150.0,139.8310393585223,130.0,0.0,0
2356,150.0,158.4259055505942,130.0,0.0,0
2407,160.0,156.00585997011513,130.0,0.0,0
2458,170.0,139.49757715625938,130.0,0.0,0
2508,170.0,159.04849239425138,130.0,0.0,0
2558,180.0,159.60829252066165,130.0,0.0,0
2608,180.0,179.5260512247666,130.0,0.09523809523809523,0
2658,190.0,179.48502873495482,130.0,0.18181818181818182,0
2717,200.0,186.65303533893433,130.0,0.2692307692307692,0
2768,200.0,199.00579886977442,130.0,0.2857142857142857,0
2818,105.0,138.02384361898518,130.0,0.2903225806451613,0
2869,105.0,97.72814699439137,130.0,0.2222222222222222,0
2922,105.0,95.91804823346484,130.0,0.1111111111111111,0
2972,105.0,119.37794065173432,130.0,0.0,0
3022,115.0,99.85745348514995,130.0,0.0,0
3072,115.0,119.70701707570721,130.0,0.0,0
3122,125.0,99.69857730329585,130.0,0.0,0
3172,125.0,119.29368357243068,130.0,0.0,0
3223,135.0,139.20744468686647,130.0,0.0,0
3274,145.0,136.6491363393918,130.0,0.0,0
3328,145.0,148.16609545241397,130.0,0.0,0
3378,155.0,138.99886070576673,130.0,0.0,0
3429,165.0,159.25416179896368,130.0,0.0,0
3481,165.0,151.47558425647605,130.0,0.0,0
3532,175.0,176.1503813812335,130.0,0.0,0
3583,185.0,179.07166028020856,130.0,0.09523809523809523,0
3640,185.0,173.678200346488,130.0,0.22727272727272727,0
3690,195.0,179.7462593954618,130.0,0.25925925925925924,0
3740,205.0,199.88423504643052,130.0,0.28125,0
3791,102.5,118.68183879469572,130.0,0.29411764705882354,0
3841,102.5,119.75330818513861,130.0,0.16666666666666666,0
3892,102.5,98.09258959531903,130.0,0.07692307692307693,0
3942,112.5,99.79591734902125,130.0,0.0,0
3992,122.5,119.64525182832901,130.0,0.0,0
4042,122.5,119.87473090620301,200.0,0.0,0
4092,132.5,119.71298811100387,200.0,0.0,0
4143,142.5,139.1335458432611,200.0,0.0,0
4193,142.5,139.92980281511979,200.0,0.0,0
4243,152.5,138.94471489040734,200.0,0.0,0
4293,152.5,159.7444089456869,200.0,0.0,0
4343,162.5,139.70626757242897,200.0,0.0,0
4393,172.5,159.58998778697722,200.0,0.0,0
4444,172.5,159.0996265752777,200.0,0.0,0
4494,182.5,179.66657118386556,200.0,0.0,0
4544,192.5,179.86225429117366,200.0,0.0,0
4594,192.5,199.79354533786056,200.0,0.0,0
4646,202.5,171.86177440102065,200.0,0.0,0
4696,202.5,219.4125229697485,200.0,0.0,0
4746,212.5,199.8878948730394,200.0,0.0,0
4797,222.5,199.74415969050202,200.0,0.0,0
4847,222.5,217.19314350468306,200.0,0.0,0
4898,232.5,234.98157372407846,200.0,0.0,0
4948,242.5,259.3649915040009,200.0,0.0,0
5001,242.5,226.38163257151766,200.0,0.047619047619047616,0
5052,252.5,254.7960056139792,200.0,0.11538461538461539,0
5102,262.5,259.70804660233154,200.0,0.2,0
5153,262.5,259.09898328562423,200.0,0.18421052631578946,0
5203,272.5,258.5662501429573,200.0,0.2,0
5264,272.5,229.37580176058708,200.0,0.23076923076923078,0
5317,282.5,338.31698689027314,200.0,0.2857142857142857,0
5367,292.5,278.97059849156614,200.0,0.2682926829268293,0
5418,146.25,238.9212704638557,200.0,0.3142857142857143,0
5468,146.25,159.2554806280638,200.0,0.21428571428571427,0
5518,146.25,139.85513245959305,200.0,0.1724137931034483,0
5568,146.25,139.4194351648639,200.0,0.0,0
5618,156.25,139.73961758097667,200.0,0.0,0
5668,166.25,159.7519850432204,200.0,0.0,0
5718,166.25,159.44274759714799,200.0,0.0,0
5769,176.25,159.61479523007944,200.0,0.0,0
5819,186.25,159.46844065738793,200.0,0.0,0
5869,186.25,197.75400884454805,200.0,0.0,0
5920,196.25,158.98106175859803,200.0,0.0,0
5970,196.25,199.47604425360083,200.0,0.0,0
6020,206.25,196.99840232325732,200.0,0.0,0
6071,216.25,178.97729154022667,200.0,0.0,0
6121,216.25,219.24652424000536,200.0,0.0,0
6171,226.25,238.3180702194264,200.0,0.0,0
6221,236.25,219.4198188916794,200.0,0.0,0
6272,236.25,238.80577055040072,200.0,0.0,0
6322,246.25,217.2354958376494,200.0,0.0,0
6372,246.25,239.03053517482724,200.0,0.02857142857142857,0
6423,256.25,238.24394202238372,200.0,0.08571428571428572,0
6473,266.25,258.3448722408097,200.0,0.16666666666666666,0
6524,266.25,277.56368475704505,200.0,0.23076923076923078,0
6574,276.25,257.4656777951321,320.0,0.1875,0
6624,286.25,279.6290273545698,320.0,0.125,0
6674,286.25,279.4580804794958,320.0,0.04878048780487805,0
6724,296.25,279.52225174820205,320.0,0.0,0
6774,296.25,299.57061345690767,320.0,0.0,0
6825,306.25,295.7143596428756,320.0,0.0,0
6875,316.25,298.88466405453426,320.0,0.0,0
6926,316.25,315.3535306232324,320.0,0.0,0
6977,326.25,316.02961252774566,320.0,0.0,0
7027,336.25,318.84366244316385,320.0,0.0,0
7077,336.25,355.6916844718349,320.0,0.0,0
7128,346.25,319.5528879901819,320.0,0.0,0
7178,356.25,337.76512302111115,320.0,0.0,0
7228,356.25,339.66599284259814,320.0,0.0,0
7278,366.25,358.7137171786664,320.0,0.0,0
7328,366.25,379.33016362386644,320.0,0.022727272727272728,0
7378,376.25,358.54163191219715,320.0,0.06666666666666667,0
7429,386.25,377.79243037986413,320.0,0.09090909090909091,0
7479,386.25,377.41815036859555,320.0,0.14893617021276595,0
7529,396.25,379.4696911066784,320.0,0.1702127659574468,0
7580,400.0,395.71212670892237,320.0,0.1864406779661017,0
7630,400.0,399.1093236867013,320.0,0.1836734693877551,0
7680,400.0,397.9667164118429,320.0,0.18333333333333332,0
7732,400.0,406.6483834971552,320.0,0.2,0
7782,400.0,397.69535541536794,320.0,0.2,0
7832,400.0,399.2932509458259,320.0,0.19607843137254902,0
7882,400.0,398.0964302613479,320.0,0.2,0
7932,400.0,399.25207310640826,320.0,0.2,0
7983,400.0,398.69990340697444,320.0,0.2,0
8033,400.0,396.629639637183,320.0,0.2,0
8084,400.0,415.28444512559884,320.0,0.2,0
8134,400.0,379.11760377720856,320.0,0.2,0
8184,400.0,419.26733034023044,320.0,0.2,0
8234,400.0,399.0688367205266,320.0,0.2,0
8284,400.0,378.5335006531098,320.0,0.2,0
8334,400.0,419.34268034855364,320.0,0.2,0
8384,400.0,397.9950996853351,320.0,0.2,0
8434,400.0,399.4537470009762,320.0,0.2,0
8485,400.0,399.36068743712315,320.0,0.2,0
8535,400.0,399.3052089364506,320.0,0.2,0
8585,400.0,398.8645681883211,320.0,0.2,0
8635,400.0,399.392260772473,320.0,0.2,0
8685,400.0,399.6389901146698,320.0,0.2,0
8735,400.0,398.748265395202,320.0,0.2,0
8785,400.0,399.45939562152955,320.0,0.2,0
8835,400.0,399.1152970855623,320.0,0.2,0
8886,400.0,397.5270478397168,320.0,0.2,0
8936,400.0,398.8228106626794,320.0,0.2,0
8986,400.0,399.6333364138403,320.0,0.2,0
9036,400.0,398.2731513394961,320.0,0.2,0
9086,400.0,398.8738435226288,500.0,0.14,0
9136,400.0,418.86592052019154,500.0,0.08333333333333333,0
9186,400.0,377.8440896364704,500.0,0.016666666666666666,0
9237,400.0,419.26105239515357,500.0,0.0,0
9287,400.0,398.4189381908198,500.0,0.0,0
9337,400.0,396.35616303215,500.0,0.0,0
9387,400.0,399.42450119019514,500.0,0.0,0
9438,400.0,394.7280749869661,500.0,0.0,0
9488,400.0,397.1234994713393,500.0,0.0,0
9539,400.0,396.5781964162973,500.0,0.0,0
9590,400.0,411.2784940595326,500.0,0.0,0
9640,400.0,397.8516013526954,500.0,0.0,0
9690,400.0,398.4030650582046,500.0,0.0,0
9740,400.0,399.2965751953414,500.0,0.0,0
9790,400.0,399.6097171736252,500.0,0.0,0
9841,400.0,399.42515530498815,500.0,0.0,0
9891,400.0,412.42883761351,500.0,0.0,0
9942,400.0,399.43280541630884,500.0,0.0,0
9992,400.0,399.56347690148516,500.0,0.0,0
10042,400.0,395.95401516773126,500.0,0.0,0
10092,400.0,398.81850019317767,500.0,0.0,0
10142,400.0,398.9583834940384,500.0,0.0,0
10192,400.0,399.7348398913065,500.0,0.0,0
10242,400.0,399.616368286445,500.0,0.0,0
10293,400.0,398.8890938735621,500.0,0.0,0
10343,400.0,397.99939237432767,500.0,0.0,0
10393,400.0,396.6974933677138,500.0,0.0,0
10443,400.0,399.0562320112933,500.0,0.0,0
10493,400.0,399.2089036839257,500.0,0.0,0
10544,400.0,397.7283032051492,500.0,0.0,0
10595,400.0,412.54497403235666,500.0,0.0,0
10645,400.0,399.65596016325304,500.0,0.0,0
10695,400.0,399.33776221540774,500.0,0.0,0
10746,400.0,373.4961913020757,500.0,0.0,0
10829,400.0,300.2335817265833,500.0,0.0,0
10885,400.0,567.5314344133538,500.0,0.0,0
10935,400.0,399.19064097542235,500.0,0.07352941176470588,0
10985,400.0,399.2603701642707,500.0,0.08064516129032258,0
11036,400.0,397.694699045829,500.0,0.06097560975609756,0
11086,400.0,415.7318144947629,500.0,0.0,0
11136,400.0,398.4960122902546,500.0,0.0,0
11187,400.0,397.5198103003664,500.0,0.0,0
11237,400.0,397.773130771079,500.0,0.0,0
11287,400.0,399.0897401570602,500.0,0.0,0
11357,400.0,415.613951162867,500.0,0.0,0
11411,400.0,387.60673605134866,500.0,0.0,0
11461,400.0,399.2567117648416,500.0,0.0,0
11512,400.0,392.2302482554677,500.0,0.0,0
11563,400.0,394.51492486453395,500.0,0.0,0
11613,400.0,397.5563562473089,500.0,0.0,0
11663,400.0,398.87318325729814,500.0,0.0,0
11713,400.0,399.35470669074084,500.0,0.0,0
11764,400.0,395.8932723995523,500.0,0.0,0
11814,400.0,419.7296185743068,500.0,0.0,0
11865,400.0,394.11164879544407,500.0,0.0,0
11915,400.0,375.63480799782656,500.0,0.0,0
11976,400.0,409.06961664548123,500.0,0.0,0
12027,400.0,417.0048625745583,500.0,0.0,0
12077,400.0,399.263359102456,500.0,0.0,0
12127,400.0,399.72019586289593,500.0,0.0,0
12177,400.0,396.20338110060345,500.0,0.0,0
12228,400.0,398.03701676589634,500.0,0.0,0
12278,400.0,396.5244630810942,500.0,0.0,0
