elapsed_ms,aimd_rps,admitted_rps,backend_capacity_rps,observed_failure_ratio,slow_start_active
332,50.0,21.023385867831344,500.0,0.0,1
395,50.0,337.47363668002885,500.0,0.0,1
446,50.0,273.30627562160925,500.0,0.0,1
538,50.0,86.69392677724746,500.0,0.0,1
590,50.0,77.48859464747532,500.0,0.0,1
658,50.0,44.230499878366125,500.0,0.0,0
721,60.0,47.28393213179608,500.0,0.0,0
824,70.0,68.06301176396234,500.0,0.0,1
904,140.0,62.82630411700771,500.0,0.0,1
954,170.0,119.91955316695348,500.0,0.0,0
1004,170.0,158.0471972789172,500.0,0.0,0
1055,180.0,158.75417659913825,500.0,0.0,0
1105,180.0,179.54873298743337,500.0,0.0,0
1155,190.0,198.71086327450664,500.0,0.0,0
1210,200.0,180.9812815946941,500.0,0.0,0
1262,200.0,194.1653317800107,500.0,0.0,0
1312,210.0,218.82908060234973,500.0,0.0,0
1382,220.0,156.62515506780267,500.0,0.0,0
1436,220.0,277.21286928588967,500.0,0.0,0
1488,230.0,231.4433495823923,500.0,0.0,0
1541,240.0,210.2804828131644,150.0,0.0,0
1591,250.0,219.32156820663505,150.0,0.0,0
1646,250.0,251.28221236039255,150.0,0.0625,0
1697,130.0,259.47456400788406,150.0,0.32,0
1748,130.0,116.23495454748337,150.0,0.30434782608695654,0
1798,130.0,139.44084222268702,150.0,0.15789473684210525,0
1848,140.0,119.92315084647457,150.0,0.0,0
1899,140.0,137.44366061633784,150.0,0.0,0
1950,150.0,118.45358840339368,150.0,0.0,0
2000,160.0,139.20779350456831,150.0,0.0,0
2051,160.0,157.26425616208536,150.0,0.0,0
2101,170.0,159.44446995555964,150.0,0.0,0
2152,180.0,159.21638788805907,150.0,0.0,0
2202,180.0,178.9051007832068,150.0,0.0,0
2252,190.0,179.3404754017102,150.0,0.0,0
2302,200.0,199.71158451810234,150.0,0.0,0
2352,200.0,199.70892424291594,150.0,0.1,0
2402,210.0,198.96999996000702,150.0,0.16,0
2453,210.0,198.91772050954285,150.0,0.23333333333333334,0
2503,220.0,218.62539284250275,150.0,0.25925925925925924,0
2553,230.0,218.6907726987155,150.0,0.2692307692307692,0
2604,230.0,237.04152268204896,150.0,0.2857142857142857,0
2654,120.0,139.5435752921913,150.0,0.3076923076923077,0
2707,120.0,131.85085009234552,150.0,0.25925925925925924,0
2759,120.0,115.83402914191117,150.0,0.14285714285714285,0
2811,130.0,115.61779646932153,150.0,0.0,0
2866,140.0,127.33649044151363,150.0,0.0,0
2916,140.0,138.7690051338783,150.0,0.0,0
2968,150.0,136.1993569444647,150.0,0.0,0
3018,150.0,138.77920375392193,150.0,0.0,0
3068,160.0,159.32962062123613,150.0,0.0,0
3118,170.0,139.60051080225762,150.0,0.0,0
3169,170.0,179.08606293159863,150.0,0.0,0
3219,180.0,158.74892827110253,150.0,0.0,0
3270,180.0,176.56406332764405,150.0,0.0,0
3326,180.0,178.39303553589266,150.0,0.0,0
3378,200.0,191.5984097331992,150.0,0.0,0
3429,210.0,198.92563447629504,150.0,0.15789473684210525,0
3482,210.0,206.333016799728,150.0,0.2,0
3533,220.0,195.75201680366635,150.0,0.23333333333333334,0
3585,220.0,213.01419933287826,150.0,0.2962962962962963,0
3640,115.0,197.00507511937835,150.0,0.35294117647058826,0
3691,115.0,119.56488425581162,150.0,0.2608695652173913,0
3741,115.0,119.55743901031309,150.0,0.17391304347826086,0
3791,115.0,119.41714402674847,150.0,0.0,0
3841,125.0,99.97167402588151,150.0,0.0,0
3892,125.0,117.73670955644931,150.0,0.0,0
3942,135.0,139.7714736405976,150.0,0.0,0
3992,145.0,119.67209845024632,150.0,0.0,0
4042,145.0,139.80334143566927,150.0,0.0,0
4092,155.0,139.63369613226232,150.0,0.0,0
4143,165.0,159.58003640978112,150.0,0.0,0
4193,165.0,159.5592176612109,150.0,0.0,0
4243,175.0,158.11526602893508,150.0,0.0,0
4293,175.0,179.84024431417083,150.0,0.0,0
4343,185.0,179.80431177532245,150.0,0.0,0
4394,195.0,159.66961801319184,150.0,0.0,0
4444,195.0,198.64244179711898,150.0,0.03125,0
4494,205.0,199.59050813807343,150.0,0.13043478260869565,0
4544,215.0,199.86059723342967,110.0,0.25,0
4595,107.5,216.80038618849883,110.0,0.3333333333333333,0
4646,107.5,98.35718904989415,110.0,0.2962962962962963,0
4696,107.5,99.8326983674219,110.0,0.25925925925925924,0
4746,107.5,119.4616246852634,110.0,0.0,0
