elapsed_ms,aimd_rps,admitted_rps,backend_capacity_rps,observed_failure_ratio,slow_start_active
501,50.0,19.94041306067145,60.0,0.0,1
552,50.0,409.02882435864035,60.0,0.0,1
614,50.0,277.437780497756,60.0,0.0,1
664,50.0,59.380120236430265,60.0,0.0,1
714,50.0,39.901841469983836,60.0,0.5769230769230769,0
789,50.0,53.174136349997795,60.0,0.5769230769230769,0
853,50.0,47.39155536509767,60.0,0.0,0
926,60.0,68.07452314102875,60.0,0.0,0
983,70.0,52.41834205152286,60.0,0.0,0
1046,80.0,64.38079126342362,60.0,0.0,0
1096,90.0,79.86575843858608,60.0,0.0,0
1148,100.0,96.37083621128774,60.0,0.0,0
1198,100.0,98.71879392801232,60.0,0.13333333333333333,0
1248,110.0,79.82704194130746,60.0,0.2727272727272727,0
1301,55.0,76.23670177004658,60.0,0.3,0
1356,55.0,54.38230762258679,60.0,0.25,0
1406,55.0,59.63755277302196,60.0,0.0,0
1476,55.0,57.610392638302066,60.0,0.0,0
1547,65.0,56.32487274134269,60.0,0.0,0
1599,75.0,38.59383367022534,60.0,0.0,0
1649,85.0,79.69377666317176,60.0,0.0,0
1705,95.0,89.04831783097104,60.0,0.0,0
1756,95.0,98.50235444267683,60.0,0.18181818181818182,0
1806,52.5,59.72491659017232,60.0,0.3,0
1856,52.5,59.707830478960695,60.0,0.3,0
1906,52.5,39.809874409400614,60.0,0.125,0
1957,62.5,59.74022917188274,60.0,0.0,0
2007,62.5,59.9076427834265,60.0,0.0,0
2057,72.5,59.105099150576976,500.0,0.0,0
2108,82.5,59.865353242101996,500.0,0.0,0
2158,82.5,79.31734260013711,500.0,0.0,0
2210,92.5,77.35746886361879,500.0,0.0,0
2260,102.5,79.62800344884809,500.0,0.0,0
2310,102.5,99.21709575646298,500.0,0.0,0
2361,112.5,118.68976234926919,500.0,0.0,0
2411,112.5,99.52146893051203,500.0,0.0,0
2461,122.5,119.26868260424918,500.0,0.0,0
2512,132.5,118.96893667527388,500.0,0.0,0
2562,132.5,139.5787040145248,500.0,0.0,0
2612,142.5,118.77092050788978,500.0,0.0,0
2663,152.5,139.26295083271785,500.0,0.0,0
2714,152.5,157.05534113902306,500.0,0.0,0
2764,162.5,158.9689559660165,500.0,0.0,0
2814,172.5,139.7982236319031,500.0,0.0,0
2864,172.5,159.39919891541598,60.0,0.0,0
2915,182.5,179.07953120958274,60.0,0.0,0
2965,182.5,177.84745182245916,60.0,0.19047619047619047,0
3015,96.25,99.3671959115884,60.0,0.5,0
3069,96.25,93.0720290203054,60.0,0.5454545454545454,0
3122,96.25,95.13691848438593,60.0,0.5,0
3172,96.25,99.80023187186671,60.0,0.4166666666666667,0
3222,96.25,99.88247229015508,60.0,0.3333333333333333,0
3272,96.25,99.81152191071511,60.0,0.3333333333333333,0
3322,96.25,99.800566531888,60.0,0.3333333333333333,0
3372,96.25,79.8180149259688,60.0,0.42857142857142855,0
3422,96.25,99.57836726887746,60.0,0.4166666666666667,0
3472,96.25,99.94619696325074,60.0,0.42857142857142855,0
3523,96.25,99.63963532371741,60.0,0.3333333333333333,0
3573,96.25,99.68375329267899,60.0,0.36363636363636365,0
3623,96.25,79.66600029376838,60.0,0.4166666666666667,0
3673,96.25,99.53492307194634,60.0,0.4,0
3723,96.25,99.89544343517414,60.0,0.42857142857142855,0
3774,96.25,99.44509636229839,60.0,0.3333333333333333,0
3824,96.25,98.69614107168454,60.0,0.3333333333333333,0
3876,96.25,96.30177123032736,60.0,0.375,0
3927,96.25,98.9658895851821,60.0,0.4166666666666667,0
3977,96.25,98.62921759986313,60.0,0.3333333333333333,0
4027,96.25,79.9392461729086,60.0,0.3333333333333333,0
4077,96.25,99.79434182448126,60.0,0.3333333333333333,0
4128,96.25,99.57795477117513,60.0,0.4166666666666667,0
4178,96.25,99.68872196566221,60.0,0.375,0
4228,96.25,99.56366225018854,60.0,0.375,0
4278,96.25,79.81569279482589,60.0,0.3333333333333333,0
4328,96.25,99.92106236073502,60.0,0.3333333333333333,0
4378,96.25,99.90750163868285,500.0,0.3333333333333333,0
4428,96.25,99.69733484299026,500.0,0.16666666666666666,0
4479,96.25,99.82140353764657,500.0,0.06666666666666667,0
4529,106.25,79.28936903006802,500.0,0.0,0
4579,116.25,99.53219866626853,500.0,0.0,0
4630,116.25,119.07547892951463,500.0,0.0,0
4680,126.25,119.85178169860896,500.0,0.0,0
4730,126.25,119.86674892988461,500.0,0.0,0
4780,136.25,138.14585332624526,500.0,0.0,0
4831,146.25,119.60182399957709,500.0,0.0,0
4881,146.25,157.7004654312399,500.0,0.0,0
4931,156.25,139.36715604315302,500.0,0.0,0
4982,166.25,159.65368561131933,500.0,0.0,0
5037,166.25,162.89973694950478,500.0,0.0,0
5102,176.25,154.10833479980255,500.0,0.0,0
5152,186.25,158.80288982352772,60.0,0.0,0
5203,186.25,197.02136791305276,60.0,0.0,0
5285,186.25,85.01632768936248,60.0,0.14285714285714285,0
5348,196.25,207.20447075842048,60.0,0.14285714285714285,0
5400,206.25,328.1423086019746,60.0,0.7142857142857143,0
5450,51.5625,59.73889086624618,60.0,0.6764705882352942,0
5500,51.5625,59.842912355067945,60.0,0.6388888888888888,0
5554,51.5625,36.8653115887471,60.0,0.2727272727272727,0
5605,51.5625,59.35975635273554,60.0,0.0,0
5655,61.5625,39.82265617236138,60.0,0.0,0
5705,71.5625,39.9223844969564,60.0,0.0,0
5755,71.5625,79.96441583495346,60.0,0.0,0
5805,81.5625,59.9022096427582,60.0,0.0,0
