elapsed_ms,aimd_rps,admitted_rps,backend_capacity_rps,observed_failure_ratio,slow_start_active
422,50.0,68.66472459779413,500.0,0.0,1
543,50.0,165.06467956303254,500.0,0.0,1
595,50.0,77.52526485392312,500.0,0.0,0
668,60.0,40.639897951590655,500.0,0.0,0
721,60.0,56.864177183317146,500.0,0.0,0
824,70.0,38.9021490646129,500.0,0.0,0
904,80.0,100.5603094743524,500.0,0.0,0
954,100.0,79.95276071086158,500.0,0.0,0
1004,100.0,98.46678937729247,500.0,0.0,0
1055,110.0,99.62557520818358,500.0,0.0,0
1105,120.0,119.72124822889872,500.0,0.0,0
1155,120.0,118.97945373558304,500.0,0.0,0
1206,130.0,97.69146853762241,500.0,0.0,0
1260,130.0,130.56453699679517,500.0,0.0,0
1310,140.0,119.28646890043701,500.0,0.0,0
1366,150.0,144.0562179390507,500.0,0.0,0
1431,150.0,138.49802736490193,500.0,0.0,0
1488,160.0,156.70058218619076,500.0,0.0,0
1541,170.0,152.7421978617085,130.0,0.0,0
1591,180.0,159.415611064647,130.0,0.0,0
1646,180.0,179.59998485612928,130.0,0.0,0
1696,190.0,179.7712410957057,130.0,0.0,0
1747,190.0,177.67468259158267,130.0,0.03333333333333333,0
1798,200.0,196.26138546642832,130.0,0.2608695652173913,0
1848,105.0,179.45162454764233,130.0,0.34782608695652173,0
1899,105.0,97.90204148861386,130.0,0.27586206896551724,0
1950,105.0,98.72114847287564,130.0,0.15789473684210525,0
2000,115.0,99.4341382175488,130.0,0.0,0
2051,115.0,118.42553254481666,130.0,0.0,0
2101,125.0,99.24720991281133,130.0,0.0,0
2151,135.0,139.3392976391703,130.0,0.0,0
2202,135.0,139.16397243559317,130.0,0.0,0
2252,145.0,119.52260758170146,130.0,0.0,0
2302,155.0,139.8014818957081,130.0,0.0,0
2352,155.0,139.79636422808352,130.0,0.0,0
2402,165.0,159.2830922869114,130.0,0.0,0
2453,165.0,159.02715140130252,130.0,0.0,0
2503,175.0,158.81431771423635,130.0,0.0,0
2553,185.0,178.79847425301972,130.0,0.047619047619047616,0
2604,185.0,178.14007157786838,130.0,0.18181818181818182,0
2654,195.0,179.39007374925254,130.0,0.2608695652173913,0
2707,97.5,131.23554194438842,130.0,0.2857142857142857,0
2760,97.5,95.67569765522785,130.0,0.17647058823529413,0
2811,97.5,97.69298027090264,130.0,0.11764705882352941,0
2866,107.5,90.93554488578496,130.0,0.0,0
2916,107.5,99.17617721576886,130.0,0.0,0
2968,117.5,116.81172216534357,130.0,0.0,0
3018,117.5,118.83345004758687,130.0,0.0,0
3068,127.5,99.63219182273568,130.0,0.0,0
3118,137.5,139.51217336388544,130.0,0.0,0
3169,137.5,139.4798545161355,130.0,0.0,0
3219,147.5,118.9225615919767,130.0,0.0,0
3271,147.5,155.3566507094672,130.0,0.0,0
3326,157.5,144.6853010603606,130.0,0.0,0
3378,167.5,171.66276849129883,130.0,0.0,0
3429,177.5,159.24557409273567,130.0,0.0,0
3481,177.5,172.56448288933993,130.0,0.05,0
3532,187.5,175.5897714119679,130.0,0.14285714285714285,0
3582,187.5,179.4283699219678,130.0,0.23076923076923078,0
3636,197.5,185.15604025292313,130.0,0.2727272727272727,0
3687,98.75,99.11629693743924,130.0,0.3333333333333333,0
3737,98.75,99.89668884233303,130.0,0.23529411764705882,0
3787,98.75,99.62896579076067,130.0,0.11764705882352941,0
3837,108.75,99.63773314432453,130.0,0.0,0
3887,108.75,119.38526616288472,130.0,0.0,0
3937,118.75,99.74341007757543,130.0,0.0,0
3988,128.75,99.65651786613152,130.0,0.0,0
4038,128.75,139.49630117586216,130.0,0.0,0
4088,138.75,118.71598688045886,130.0,0.0,0
4138,138.75,139.68257135659215,130.0,0.0,0
4189,148.75,157.45241984687752,130.0,0.0,0
4240,158.75,118.77307414409154,130.0,0.0,0
4290,158.75,158.52309422892117,130.0,0.0,0
4341,168.75,158.77413034347884,130.0,0.0,0
4391,178.75,158.51039852981606,130.0,0.0,0
4441,178.75,179.66298458026466,130.0,0.07692307692307693,0
4491,188.75,179.2949227164177,130.0,0.14285714285714285,0
4541,188.75,199.6648944210973,130.0,0.2608695652173913,0
4592,198.75,177.58324125642275,130.0,0.28125,0
