elapsed_ms,aimd_rps,admitted_rps,backend_capacity_rps,observed_failure_ratio,slow_start_active
394,50.0,63.29690807263447,500.0,0.0,1
471,50.0,286.49485769728796,500.0,0.0,1
550,50.0,63.82574774320772,500.0,0.0,1
602,50.0,37.932009793210426,500.0,0.018518518518518517,0
659,50.0,53.28754583195207,500.0,0.017857142857142856,0
719,60.0,49.76286584477101,500.0,0.017543859649122806,0
824,70.0,9.53032191044833,500.0,0.0,0
903,80.0,138.16744894982816,500.0,0.0,0
954,100.0,59.88880684787782,500.0,0.0,0
1004,100.0,98.50089905710605,500.0,0.0,0
1055,110.0,119.19473941169291,500.0,0.0,0
1105,120.0,99.84200003494469,500.0,0.0,0
1155,120.0,119.29536285205629,500.0,0.0,0
1211,130.0,126.05940549483944,500.0,0.0,0
1262,140.0,117.4599290346262,500.0,0.0,0
1312,140.0,138.83448450260067,500.0,0.0,0
1369,150.0,141.61725345657624,500.0,0.0,0
1431,150.0,160.55595260150656,500.0,0.0,0
1485,160.0,129.22380943519892,500.0,0.0,0
1536,170.0,157.09350930267507,500.0,0.0,0
1586,180.0,179.49308281523653,130.0,0.0,0
1646,180.0,182.78232079543542,130.0,0.0,0
1696,190.0,159.78535394263469,130.0,0.0,0
1748,200.0,191.87305555845495,130.0,0.10714285714285714,0
1798,200.0,199.9038822153532,130.0,0.25,0
1848,100.0,119.91715643165075,130.0,0.3181818181818182,0
1899,100.0,98.72732188988894,130.0,0.23529411764705882,0
1950,100.0,98.38380012347166,130.0,0.11764705882352941,0
2000,110.0,79.54737543378178,130.0,0.0,0
2051,110.0,118.42514453196765,130.0,0.0,0
2101,120.0,119.09694739636706,130.0,0.0,0
2152,130.0,99.52806974226449,130.0,0.0,0
2202,130.0,139.10670404291577,130.0,0.0,0
2252,140.0,139.5039462876326,130.0,0.0,0
2302,150.0,119.8269507108614,130.0,0.0,0
2352,150.0,159.76727340352403,130.0,0.0,0
2402,160.0,159.16662899723113,130.0,0.0,0
2453,160.0,159.14341059248596,130.0,0.0,0
2503,170.0,139.06478929201123,130.0,0.0,0
2553,180.0,159.1170341189485,130.0,0.0,0
2604,180.0,177.7403267937598,130.0,0.07142857142857142,0
2654,190.0,179.45475543836142,130.0,0.19047619047619047,0
2708,200.0,186.12658934657935,130.0,0.2631578947368421,0
2760,100.0,153.65679253392403,130.0,0.35714285714285715,0
2811,100.0,98.21518455860868,130.0,0.17647058823529413,0
2866,100.0,90.81531666429093,130.0,0.0,0
2916,100.0,99.16380124599317,130.0,0.0,0
2968,110.0,97.25513714277555,130.0,0.0,0
3018,120.0,99.10720856876169,130.0,0.0,0
3068,120.0,119.57014532754746,130.0,0.0,0
3118,130.0,99.72964887863385,130.0,0.0,0
3169,130.0,139.37143482892156,130.0,0.0,0
3219,140.0,118.92030353693956,130.0,0.0,0
3270,150.0,137.43714091479143,130.0,0.0,0
